iter	Passed	Remaining
0	149	149646
1	170	85054
2	186	61892
3	196	49045
4	208	41452
5	221	36686
6	232	32966
7	244	30368
8	261	28840
9	277	27479
10	291	26237
11	307	25323
12	320	24333
13	332	23400
14	343	22555
15	357	21966
16	371	21474
17	383	20895
18	392	20281
19	402	19728
20	415	19380
21	429	19114
22	444	18879
23	456	18575
24	469	18295
25	479	17964
26	492	17763
27	505	17544
28	517	17339
29	530	17136
30	540	16904
31	552	16712
32	563	16518
33	575	16361
34	585	16148
35	599	16048
36	611	15909
37	621	15726
38	630	15543
39	641	15407
40	654	15308
41	665	15172
42	678	15096
43	691	15024
44	701	14886
45	711	14757
46	722	14656
47	735	14583
48	745	14463
49	757	14390
50	765	14245
51	777	14172
52	790	14118
53	800	14027
54	811	13942
55	822	13865
56	833	13786
57	846	13755
58	858	13699
59	871	13646
60	882	13589
61	896	13560
62	911	13561
63	922	13485
64	934	13444
65	945	13379
66	954	13296
67	964	13222
68	978	13203
69	989	13140
70	999	13083
71	1011	13042
72	1023	12990
73	1034	12942
74	1043	12871
75	1055	12837
76	1066	12780
77	1077	12732
78	1090	12714
79	1105	12717
80	1117	12673
81	1127	12619
82	1138	12573
83	1147	12517
84	1159	12480
85	1172	12464
86	1185	12445
87	1200	12445
88	1212	12415
89	1224	12378
90	1234	12328
91	1243	12276
92	1256	12255
93	1271	12252
94	1285	12244
95	1299	12232
96	1310	12198
97	1321	12159
98	1332	12131
99	1344	12099
100	1354	12053
101	1364	12010
102	1373	11963
103	1384	11927
104	1396	11902
105	1406	11861
106	1417	11827
107	1429	11809
108	1441	11779
109	1452	11749
110	1463	11724
111	1474	11690
112	1485	11659
113	1497	11636
114	1508	11607
115	1523	11609
116	1533	11571
117	1545	11548
118	1555	11513
119	1564	11475
120	1576	11453
121	1587	11424
122	1597	11392
123	1608	11361
124	1620	11344
125	1631	11316
126	1643	11299
127	1654	11269
128	1665	11246
129	1679	11238
130	1691	11218
131	1705	11215
132	1717	11197
133	1730	11183
134	1744	11179
135	1758	11170
136	1770	11151
137	1782	11133
138	1791	11099
139	1801	11063
140	1814	11052
141	1831	11065
142	1843	11048
143	1854	11025
144	1868	11015
145	1878	10990
146	1889	10962
147	1905	10969
148	1920	10967
149	1932	10953
150	1944	10931
151	1955	10912
152	1970	10906
153	1981	10887
154	1992	10864
155	2003	10841
156	2014	10817
157	2028	10809
158	2038	10780
159	2048	10756
160	2060	10737
161	2070	10710
162	2084	10701
163	2101	10710
164	2112	10691
165	2123	10669
166	2136	10658
167	2148	10640
168	2158	10614
169	2170	10596
170	2183	10585
171	2195	10568
172	2207	10550
173	2218	10530
174	2227	10502
175	2243	10505
176	2258	10503
177	2270	10483
178	2282	10469
179	2295	10458
180	2310	10455
181	2331	10476
182	2350	10492
183	2362	10479
184	2380	10488
185	2393	10475
186	2408	10472
187	2419	10450
188	2431	10433
189	2446	10429
190	2458	10412
191	2470	10398
192	2485	10394
193	2501	10392
194	2515	10383
195	2527	10366
196	2540	10354
197	2551	10335
198	2565	10326
199	2578	10314
200	2589	10292
201	2601	10277
202	2612	10258
203	2623	10235
204	2635	10221
205	2647	10206
206	2659	10189
207	2676	10190
208	2687	10170
209	2699	10155
210	2711	10138
211	2723	10123
212	2734	10102
213	2747	10090
214	2760	10079
215	2771	10058
216	2782	10040
217	2793	10021
218	2805	10005
219	2819	9996
220	2831	9979
221	2843	9964
222	2856	9954
223	2869	9940
224	2884	9933
225	2895	9917
226	2912	9918
227	2925	9906
228	2937	9889
229	2948	9872
230	2962	9863
231	2976	9853
232	2988	9837
233	3001	9823
234	3012	9805
235	3022	9785
236	3032	9764
237	3043	9744
238	3058	9737
239	3071	9727
240	3082	9708
241	3094	9692
242	3102	9664
243	3111	9641
244	3123	9625
245	3134	9608
246	3146	9593
247	3158	9578
248	3171	9564
249	3182	9548
250	3194	9534
251	3209	9527
252	3223	9517
253	3235	9502
254	3249	9492
255	3261	9479
256	3272	9460
257	3283	9444
258	3297	9433
259	3308	9415
260	3324	9413
261	3336	9398
262	3348	9384
263	3359	9366
264	3373	9356
265	3381	9331
266	3390	9308
267	3397	9279
268	3405	9253
269	3413	9228
270	3420	9200
271	3428	9176
272	3436	9152
273	3443	9124
274	3451	9099
275	3458	9073
276	3465	9044
277	3472	9018
278	3478	8989
279	3485	8962
280	3491	8933
281	3497	8905
282	3504	8877
283	3510	8850
284	3516	8822
285	3522	8794
286	3529	8769
287	3535	8740
288	3542	8716
289	3549	8691
290	3557	8667
291	3563	8641
292	3569	8613
293	3575	8585
294	3580	8557
295	3586	8529
296	3591	8501
297	3597	8473
298	3602	8446
299	3608	8418
300	3613	8392
301	3619	8365
302	3624	8337
303	3628	8308
304	3633	8279
305	3637	8250
306	3643	8223
307	3648	8196
308	3653	8170
309	3658	8142
310	3663	8115
311	3667	8087
312	3672	8061
313	3677	8034
314	3682	8008
315	3686	7980
316	3690	7951
317	3695	7925
318	3700	7899
319	3704	7872
320	3709	7846
321	3713	7819
322	3718	7794
323	3723	7768
324	3728	7743
325	3732	7716
326	3737	7691
327	3742	7668
328	3748	7644
329	3753	7620
330	3757	7595
331	3762	7570
332	3766	7545
333	3772	7521
334	3777	7497
335	3781	7472
336	3785	7447
337	3790	7423
338	3794	7398
339	3798	7373
340	3802	7348
341	3808	7327
342	3813	7304
343	3818	7281
344	3825	7263
345	3831	7241
346	3836	7218
347	3840	7196
348	3845	7172
349	3849	7149
350	3855	7127
351	3859	7105
352	3864	7083
353	3869	7061
354	3874	7040
355	3879	7018
356	3884	6996
357	3890	6976
358	3896	6956
359	3901	6936
360	3906	6915
361	3912	6895
362	3917	6874
363	3922	6853
364	3926	6831
365	3931	6810
366	3935	6788
367	3940	6767
368	3944	6745
369	3948	6723
370	3953	6702
371	3958	6682
372	3962	6660
373	3967	6640
374	3973	6621
375	3978	6602
376	3984	6583
377	3989	6564
378	3994	6544
379	3998	6523
380	4002	6503
381	4007	6483
382	4012	6463
383	4016	6442
384	4020	6422
385	4025	6402
386	4029	6382
387	4033	6362
388	4038	6343
389	4043	6324
390	4060	6324
391	4064	6304
392	4069	6284
393	4074	6266
394	4078	6247
395	4084	6229
396	4089	6210
397	4093	6191
398	4097	6172
399	4102	6153
400	4106	6134
401	4111	6115
402	4116	6097
403	4120	6079
404	4125	6061
405	4130	6043
406	4136	6026
407	4141	6008
408	4146	5991
409	4151	5974
410	4156	5956
411	4161	5939
412	4166	5922
413	4171	5904
414	4175	5886
415	4180	5869
416	4185	5851
417	4190	5834
418	4196	5819
419	4202	5803
420	4207	5786
421	4212	5769
422	4217	5753
423	4222	5735
424	4227	5719
425	4232	5702
426	4236	5685
427	4241	5668
428	4246	5651
429	4250	5634
430	4254	5616
431	4259	5600
432	4263	5583
433	4267	5566
434	4272	5549
435	4277	5532
436	4282	5517
437	4286	5500
438	4291	5484
439	4296	5467
440	4300	5451
441	4305	5436
442	4311	5420
443	4316	5405
444	4321	5389
445	4326	5374
446	4331	5358
447	4336	5343
448	4341	5327
449	4345	5311
450	4349	5295
451	4354	5279
452	4359	5264
453	4365	5249
454	4369	5233
455	4373	5217
456	4378	5202
457	4383	5187
458	4387	5171
459	4393	5157
460	4399	5143
461	4405	5129
462	4409	5114
463	4414	5099
464	4418	5083
465	4423	5069
466	4428	5053
467	4432	5038
468	4438	5024
469	4443	5010
470	4448	4996
471	4454	4982
472	4459	4968
473	4463	4952
474	4468	4938
475	4473	4924
476	4478	4910
477	4483	4896
478	4489	4883
479	4493	4868
480	4498	4854
481	4503	4840
482	4509	4826
483	4514	4813
484	4519	4799
485	4524	4785
486	4529	4771
487	4535	4758
488	4539	4743
489	4544	4729
490	4549	4716
491	4554	4702
492	4560	4689
493	4565	4676
494	4570	4663
495	4576	4650
496	4580	4635
497	4586	4623
498	4592	4610
499	4597	4597
500	4602	4584
501	4608	4571
502	4613	4558
503	4619	4546
504	4624	4533
505	4630	4520
506	4649	4520
507	4653	4507
508	4658	4493
509	4664	4481
510	4670	4469
511	4675	4455
512	4680	4443
513	4686	4430
514	4692	4418
515	4698	4406
516	4702	4393
517	4708	4381
518	4712	4367
519	4717	4354
520	4722	4342
521	4727	4328
522	4732	4316
523	4737	4303
524	4742	4290
525	4747	4277
526	4751	4264
527	4756	4251
528	4760	4238
529	4765	4225
530	4770	4213
531	4775	4200
532	4780	4188
533	4786	4176
534	4791	4164
535	4796	4152
536	4802	4140
537	4807	4128
538	4812	4116
539	4818	4104
540	4822	4091
541	4827	4079
542	4832	4066
543	4837	4055
544	4842	4043
545	4847	4030
546	4852	4018
547	4856	4005
548	4862	3994
549	4867	3982
550	4872	3970
551	4877	3958
552	4883	3947
553	4888	3935
554	4893	3923
555	4899	3912
556	4904	3900
557	4910	3889
558	4915	3878
559	4921	3866
560	4928	3856
561	4934	3845
562	4940	3834
563	4945	3823
564	4951	3812
565	4956	3800
566	4961	3789
567	4966	3777
568	4972	3766
569	4979	3756
570	4985	3745
571	4990	3733
572	4995	3722
573	5001	3711
574	5006	3700
575	5011	3688
576	5016	3677
577	5021	3666
578	5026	3655
579	5032	3644
580	5038	3633
581	5043	3622
582	5047	3610
583	5052	3598
584	5057	3587
585	5062	3576
586	5067	3565
587	5072	3554
588	5077	3542
589	5082	3531
590	5087	3521
591	5093	3510
592	5098	3499
593	5104	3488
594	5109	3478
595	5115	3467
596	5120	3456
597	5126	3445
598	5131	3435
599	5135	3423
600	5140	3412
601	5144	3401
602	5149	3390
603	5154	3379
604	5158	3367
605	5163	3356
606	5168	3346
607	5172	3335
608	5178	3324
609	5184	3314
610	5189	3304
611	5195	3293
612	5200	3283
613	5205	3272
614	5211	3262
615	5216	3251
616	5220	3240
617	5226	3230
618	5231	3220
619	5236	3209
620	5240	3198
621	5245	3187
622	5251	3177
623	5256	3167
624	5262	3157
625	5267	3147
626	5272	3136
627	5277	3125
628	5281	3115
629	5286	3104
630	5291	3094
631	5295	3083
632	5300	3073
633	5305	3062
634	5309	3052
635	5314	3041
636	5319	3031
637	5323	3020
638	5328	3010
639	5333	3000
640	5338	2989
641	5343	2979
642	5348	2969
643	5353	2959
644	5357	2948
645	5362	2938
646	5367	2928
647	5371	2918
648	5376	2908
649	5381	2897
650	5385	2887
651	5390	2877
652	5395	2867
653	5401	2857
654	5406	2847
655	5411	2837
656	5417	2828
657	5422	2818
658	5427	2808
659	5432	2798
660	5437	2788
661	5442	2778
662	5447	2769
663	5452	2759
664	5457	2749
665	5463	2739
666	5468	2730
667	5475	2721
668	5481	2711
669	5487	2702
670	5492	2692
671	5498	2684
672	5504	2674
673	5510	2665
674	5516	2655
675	5521	2646
676	5527	2637
677	5531	2627
678	5537	2617
679	5543	2608
680	5548	2599
681	5558	2591
682	5562	2581
683	5568	2572
684	5573	2562
685	5577	2553
686	5582	2543
687	5587	2533
688	5592	2524
689	5598	2515
690	5603	2505
691	5608	2496
692	5613	2486
693	5619	2477
694	5623	2468
695	5628	2458
696	5633	2449
697	5639	2439
698	5644	2430
699	5649	2421
700	5655	2412
701	5661	2403
702	5666	2393
703	5671	2384
704	5676	2375
705	5681	2365
706	5686	2356
707	5691	2347
708	5696	2337
709	5701	2328
710	5705	2319
711	5710	2309
712	5715	2300
713	5721	2291
714	5726	2282
715	5731	2273
716	5735	2263
717	5740	2254
718	5746	2245
719	5751	2236
720	5756	2227
721	5761	2218
722	5766	2209
723	5771	2200
724	5775	2190
725	5781	2181
726	5786	2172
727	5791	2163
728	5796	2154
729	5801	2145
730	5806	2136
731	5811	2127
732	5817	2118
733	5823	2110
734	5828	2101
735	5834	2092
736	5839	2083
737	5845	2075
738	5850	2066
739	5855	2057
740	5861	2048
741	5867	2040
742	5872	2031
743	5877	2022
744	5883	2013
745	5888	2005
746	5894	1996
747	5899	1987
748	5904	1978
749	5909	1969
750	5914	1960
751	5920	1952
752	5925	1943
753	5930	1934
754	5935	1926
755	5941	1917
756	5946	1908
757	5951	1900
758	5956	1891
759	5960	1882
760	5965	1873
761	5970	1864
762	5975	1856
763	5981	1847
764	5986	1838
765	5991	1830
766	5996	1821
767	6001	1813
768	6007	1804
769	6013	1796
770	6018	1787
771	6024	1779
772	6029	1770
773	6035	1762
774	6040	1753
775	6045	1745
776	6050	1736
777	6055	1727
778	6060	1719
779	6066	1711
780	6073	1702
781	6079	1694
782	6085	1686
783	6090	1678
784	6095	1669
785	6101	1661
786	6106	1652
787	6111	1644
788	6117	1636
789	6123	1627
790	6131	1620
791	6138	1612
792	6143	1603
793	6148	1595
794	6153	1586
795	6158	1578
796	6165	1570
797	6171	1562
798	6177	1553
799	6182	1545
800	6188	1537
801	6193	1529
802	6198	1520
803	6204	1512
804	6209	1504
805	6213	1495
806	6218	1487
807	6223	1478
808	6228	1470
809	6232	1462
810	6238	1453
811	6243	1445
812	6249	1437
813	6254	1429
814	6259	1420
815	6264	1412
816	6269	1404
817	6274	1395
818	6278	1387
819	6283	1379
820	6288	1371
821	6293	1362
822	6298	1354
823	6303	1346
824	6308	1338
825	6313	1329
826	6318	1321
827	6323	1313
828	6329	1305
829	6334	1297
830	6339	1289
831	6344	1281
832	6349	1272
833	6354	1264
834	6360	1256
835	6365	1248
836	6372	1241
837	6378	1233
838	6385	1225
839	6392	1217
840	6399	1209
841	6405	1202
842	6411	1194
843	6417	1186
844	6423	1178
845	6430	1170
846	6437	1162
847	6443	1154
848	6449	1147
849	6455	1139
850	6461	1131
851	6467	1123
852	6473	1115
853	6479	1107
854	6484	1099
855	6490	1091
856	6496	1084
857	6501	1076
858	6507	1068
859	6513	1060
860	6518	1052
861	6524	1044
862	6530	1036
863	6536	1028
864	6542	1021
865	6548	1013
866	6555	1005
867	6561	997
868	6567	989
869	6573	982
870	6579	974
871	6584	966
872	6590	958
873	6596	950
874	6601	943
875	6605	935
876	6610	927
877	6615	919
878	6620	911
879	6625	903
880	6630	895
881	6635	887
882	6641	879
883	6645	872
884	6650	864
885	6655	856
886	6660	848
887	6665	840
888	6670	832
889	6675	825
890	6679	817
891	6683	809
892	6688	801
893	6692	793
894	6697	785
895	6701	777
896	6710	770
897	6714	762
898	6719	754
899	6724	747
900	6729	739
901	6733	731
902	6738	723
903	6742	716
904	6747	708
905	6752	700
906	6757	692
907	6762	685
908	6766	677
909	6771	669
910	6776	662
911	6780	654
912	6785	646
913	6789	638
914	6794	631
