y_val,y_pred_xgb_wc
22332,23814.215
10775,10912.626
24504,22085.89
18249,18262.61
19460,18659.145
27602,26683.127
57391,45282.734
9388,8496.486
16182,12037.396
11448,11380.99
14358,17522.08
18299,17395.986
31858,29192.234
9881,10037.922
14098,11726.764
9393,9788.76
5877,6221.1665
29345,26021.434
27756,27911.57
8801,7960.373
13495,15875.871
45236,38700.95
27639,25136.574
54456,51735.652
38688,38043.668
18953,16652.75
37362,28529.832
38536,36102.94
28383,24578.629
54191,50060.67
21511,31502.67
26527,25012.127
26807,25262.785
32680,28979.207
20275,19248.531
19415,17088.115
12472,14932.5
8989,8844.473
6941,7261.721
43373,41033.03
25165,29513.67
17324,16126.471
35062,35707.54
22479,22548.133
36827,36241.465
28699,33499.8
33493,32718.545
17379,16255.152
17276,19009.941
19011,20589.33
11243,11191.625
37264,36800.145
44173,44683.77
35949,31634.691
17908,18046.525
9687,9070.537
15804,14873.311
26307,28721.64
12610,14770.817
23059,23595.066
39302,38179.016
26274,28254.227
29629,31606.752
14954,14424.14
39549,45440.605
30629,30015.035
17187,16884.174
14816,14107.774
25668,29757.623
12388,13898.151
22913,21710.418
17985,18949.156
40584,39274.65
41258,42992.594
20777,20486.059
52445,46664.094
13650,15827.745
39404,38912.215
25439,21168.12
13730,11757.881
14735,14407.97
15825,17667.566
72802,68200.14
46624,45778.71
54182,51645.914
26458,27908.219
40519,40677.85
46797,43894.23
37285,36143.676
27602,28455.893
38414,33450.535
28166,28805.15
15956,16139.996
28656,24748.648
56342,51985.945
14966,9330.7
9333,6560.1787
6254,6033.305
22169,20985.932
16344,16004.247
11190,8779.406
13600,9260.328
10583,5986.604
6057,1890.0763
36282,35006.26
16380,13901.408
8830,8496.686
12842,9587.332
6232,5493.902
4678,3832.3906
7100,4131.064
23190,19771.447
10707,10054.49
20422,21988.809
14517,10229.252
21673,18767.95
18265,19497.041
28621,26046.564
34092,26365.775
27331,22412.332
14760,11354.917
46053,44145.766
25175,19613.742
22270,21774.102
43831,43182.668
39171,36131.41
6153,2765.8535
16049,16548.387
14286,13613.166
27956,22728.125
36372,36574.418
32674,30549.174
33439,27649.666
31975,33484.684
13027,10324.516
11389,10411.941
12035,9335.483
39887,37339.44
12555,12868.1875
35118,33948.7
16579,17351.648
26449,24570.113
16708,15584.592
12210,9273.919
19274,17396.475
19397,17813.775
10481,8984.244
7676,4497.1987
22404,23028.191
23468,18796.139
28763,23985.762
9867,8846.971
13420,9082.424
13135,10613.593
19982,18832.52
15017,11528.726
5725,5969.984
11280,11686.787
20181,25395.11
25759,22658.75
36593,30701.355
15013,16813.71
17770,15674.268
16510,15286.413
32515,26809.074
23882,22949.893
22654,23723.646
23128,21492.63
8547,7616.188
10936,10849.334
18090,14090.679
28556,23577.89
45373,35235.426
30448,26160.096
26760,24411.652
38064,30740.77
33003,28230.996
21516,20953.865
26063,27247.367
21309,16911.203
12221,13205.9
51523,41522.984
14977,17263.23
17118,15115.899
11506,13475.659
8186,4363.8154
17812,15872.117
24993,29446.705
12410,10604.6875
9611,3779.3542
6637,4982.7144
14487,15893.839
33577,32866.938
8632,3970.4248
3010,2442.0547
10394,10041.031
21353,19902.045
9398,7801.3555
11481,8440.258
19884,15614.028
29058,27017.99
7214,3363.764
12336,13848.443
11163,2993.6218
28989,20725.467
13550,11155.77
19788,17716.693
20054,19578.215
21480,23890.885
11496,11240.428
19752,14351.972
17014,13799.374
21147,13605.047
7114,5516.0127
18633,16727.193
8104,2975.0684
10375,10209.932
15298,16371.746
7018,6765.184
25024,17215.271
39373,35156.78
21533,20589.787
14067,13965.234
13581,11943.486
7261,4612.238
12461,6255.153
28422,27983.479
4708,4091.135
25398,36060.16
28999,34875.71
6435,1082.6835
14346,10888.531
8422,8875.345
15359,13631.591
7425,3488.0486
8939,9205.379
13630,14208.319
9766,11597.311
16814,15425.638
7113,5462.719
14414,8390.858
31169,30835.008
19038,17726.299
24057,27451.508
18144,17480.469
18233,18166.96
12869,14586.736
8563,8633.125
32193,26338.232
20119,20717.99
16878,13647.582
33879,33113.406
6479,8175.6367
6184,6627.3755
8429,8162.3125
26002,23238.348
9722,6525.4453
31517,28684.713
53037,48741.273
48715,48422.184
23166,18551.025
23281,19633.635
32273,30064.006
38214,39297.137
5879,5935.387
24297,22321.19
12068,7869.7676
8579,5103.8896
15032,12365.657
21282,23007.578
13177,11563.573
10991,9584.853
32754,28581.62
28452,23907.566
25086,22996.041
13579,6755.5615
7401,5530.948
7163,6213.639
7011,4916.1143
16359,14143.835
50454,43812.055
14419,12672.969
18747,15968.707
14492,11646.853
17185,14650.178
12424,11813.748
13988,12162.118
7921,5849.24
11311,10072.914
34671,29119.326
16072,12860.013
16088,13411.034
8814,8135.3896
5271,4200.177
47726,41793.82
11585,12267.052
14402,12584.856
23959,20891.07
51981,43236.195
11330,10165.618
37843,32365.965
20720,17743.914
18170,14698.532
27804,23008.588
55222,52461.81
31212,26067.893
42999,33197.152
25766,23601.953
24038,20725.318
25870,26241.28
12314,8559.395
31115,26795.2
10165,7656.1543
19407,20279.865
11917,10959.658
31266,26073.783
24451,20990.586
52508,46215.695
27739,26607.598
24136,19516.139
17386,16898.766
36509,41860.45
21546,21635.56
11986,12422.99
8945,10496.037
14048,12798.144
